89.699	6.10405	125.235	6.10405	191.961	6.10405
89.6869	8.18605	125.212	9.97674	191.949	8.18605
89.5669	7.93023	125.138	9.72093	192.185	9.72093
89.5669	9.72093	125.138	9.72093	192.185	9.72093
89.5669	9.72093	125.138	11.7674	192.185	9.72093
89.5669	9.72093	125.138	11.7674	192.441	11.7674
89.5669	9.72093	125.138	13.814	192.441	11.7674
89.311	11.8664	125.138	15.9007	192.697	13.7999
89.0551	13.814	125.138	15.8605	192.697	13.814
89.0551	13.814	125.138	17.907	192.953	15.093
88.5433	15.9365	125.138	17.9354	192.953	15.0714
88.5433	15.8605	125.138	22.5116	192.953	15.093
88.5433	15.8605	125.138	24.3023	192.953	15.093
88.5433	15.8605	124.882	25.8372	192.953	15.093
88.5433	17.907	124.882	25.8372	192.953	15.093
88.5433	21.2326	124.882	25.8372	192.953	15.093
88.5433	21.2326	124.882	25.8372	192.953	19.6977
89.311	23.0233	124.882	25.8372	192.953	19.6977